"","LandUse","date","ndvi_mean","Stot_per_LU","ndvi_mean_interp"
"888","Urbain",2015-06-07,NA,NA,0.663081808813832
"889","Urbain",2015-06-08,NA,NA,0.671207345728323
"890","Urbain",2015-06-09,NA,NA,0.679332882642813
"891","Urbain",2015-06-10,NA,NA,0.687458419557304
"892","Urbain",2015-06-11,0.695583956471794,1209849.278,0.695583956471794
"893","Urbain",2015-06-12,NA,NA,0.689323215828826
"894","Urbain",2015-06-13,NA,NA,0.683062475185859
"895","Urbain",2015-06-14,NA,NA,0.676801734542891
"896","Urbain",2015-06-15,NA,NA,0.670540993899924
"897","Urbain",2015-06-16,NA,NA,0.664280253256956
"898","Urbain",2015-06-17,NA,NA,0.658019512613988
"899","Urbain",2015-06-18,NA,NA,0.651758771971021
"900","Urbain",2015-06-19,NA,NA,0.645498031328053
"901","Urbain",2015-06-20,NA,NA,0.639237290685085
"902","Urbain",2015-06-21,NA,NA,0.632976550042118
"903","Urbain",2015-06-22,NA,NA,0.62671580939915
"904","Urbain",2015-06-23,NA,NA,0.620455068756182
"905","Urbain",2015-06-24,NA,NA,0.614194328113215
"906","Urbain",2015-06-25,NA,NA,0.607933587470247
"907","Urbain",2015-06-26,NA,NA,0.601672846827279
"908","Urbain",2015-06-27,NA,NA,0.595412106184312
"909","Urbain",2015-06-28,NA,NA,0.589151365541344
"910","Urbain",2015-06-29,NA,NA,0.582890624898377
"911","Urbain",2015-06-30,NA,NA,0.576629884255409
"912","Urbain",2015-07-01,NA,NA,0.570369143612441
"913","Urbain",2015-07-02,NA,NA,0.564108402969474
"914","Urbain",2015-07-03,NA,NA,0.557847662326506
"915","Urbain",2015-07-04,NA,NA,0.551586921683538
"916","Urbain",2015-07-05,NA,NA,0.545326181040571
"917","Urbain",2015-07-06,0.539065440397603,1209849.278,0.539065440397603
"918","Urbain",2015-07-07,NA,NA,0.535532346818086
"919","Urbain",2015-07-08,NA,NA,0.531999253238569
"920","Urbain",2015-07-09,NA,NA,0.528466159659053
"921","Urbain",2015-07-10,NA,NA,0.524933066079536
"922","Urbain",2015-07-11,NA,NA,0.521399972500019
"923","Urbain",2015-07-12,NA,NA,0.517866878920502
"924","Urbain",2015-07-13,NA,NA,0.514333785340986
"925","Urbain",2015-07-14,NA,NA,0.510800691761469
"926","Urbain",2015-07-15,NA,NA,0.507267598181952
"927","Urbain",2015-07-16,NA,NA,0.503734504602435
"928","Urbain",2015-07-17,NA,NA,0.500201411022918
"929","Urbain",2015-07-18,NA,NA,0.496668317443402
"930","Urbain",2015-07-19,NA,NA,0.493135223863885
"931","Urbain",2015-07-20,NA,NA,0.489602130284368
"932","Urbain",2015-07-21,NA,NA,0.486069036704851
"933","Urbain",2015-07-22,0.482535943125335,1209849.278,0.482535943125335
"934","Urbain",2015-07-23,NA,NA,0.477866531055911
"935","Urbain",2015-07-24,NA,NA,0.473197118986488
"936","Urbain",2015-07-25,NA,NA,0.468527706917065
"937","Urbain",2015-07-26,NA,NA,0.463858294847642
"938","Urbain",2015-07-27,NA,NA,0.459188882778218
"939","Urbain",2015-07-28,NA,NA,0.454519470708795
"940","Urbain",2015-07-29,NA,NA,0.449850058639372
"941","Urbain",2015-07-30,NA,NA,0.445180646569948
"942","Urbain",2015-07-31,NA,NA,0.440511234500525
"943","Urbain",2015-08-01,NA,NA,0.435841822431102
"944","Urbain",2015-08-02,NA,NA,0.431172410361679
"945","Urbain",2015-08-03,NA,NA,0.426502998292255
"946","Urbain",2015-08-04,NA,NA,0.421833586222832
"947","Urbain",2015-08-05,NA,NA,0.417164174153409
"948","Urbain",2015-08-06,NA,NA,0.412494762083986
"949","Urbain",2015-08-07,0.407825350014562,1209849.278,0.407825350014562
"950","Urbain",2015-08-08,NA,NA,0.412143235509186
"951","Urbain",2015-08-09,NA,NA,0.41646112100381
"952","Urbain",2015-08-10,NA,NA,0.420779006498433
"953","Urbain",2015-08-11,NA,NA,0.425096891993057
"954","Urbain",2015-08-12,NA,NA,0.42941477748768
"955","Urbain",2015-08-13,NA,NA,0.433732662982304
"956","Urbain",2015-08-14,0.438050548476928,1209849.278,0.438050548476928
"957","Urbain",2015-08-15,NA,NA,0.44199094881104
"958","Urbain",2015-08-16,NA,NA,0.445931349145152
"959","Urbain",2015-08-17,NA,NA,0.449871749479264
"960","Urbain",2015-08-18,NA,NA,0.453812149813376
"961","Urbain",2015-08-19,NA,NA,0.457752550147489
"962","Urbain",2015-08-20,NA,NA,0.461692950481601
"963","Urbain",2015-08-21,NA,NA,0.465633350815713
"964","Urbain",2015-08-22,NA,NA,0.469573751149825
"965","Urbain",2015-08-23,NA,NA,0.473514151483937
"966","Urbain",2015-08-24,NA,NA,0.47745455181805
"967","Urbain",2015-08-25,NA,NA,0.481394952152162
"968","Urbain",2015-08-26,NA,NA,0.485335352486274
"969","Urbain",2015-08-27,NA,NA,0.489275752820386
"970","Urbain",2015-08-28,NA,NA,0.493216153154499
"971","Urbain",2015-08-29,NA,NA,0.497156553488611
"972","Urbain",2015-08-30,0.501096953822723,1209849.278,0.501096953822723
"973","Urbain",2015-08-31,NA,NA,0.503298835903501
"974","Urbain",2015-09-01,NA,NA,0.505500717984278
"975","Urbain",2015-09-02,NA,NA,0.507702600065056
"976","Urbain",2015-09-03,NA,NA,0.509904482145833
"977","Urbain",2015-09-04,NA,NA,0.512106364226611
"978","Urbain",2015-09-05,NA,NA,0.514308246307388
"979","Urbain",2015-09-06,NA,NA,0.516510128388166
"980","Urbain",2015-09-07,NA,NA,0.518712010468943
"981","Urbain",2015-09-08,NA,NA,0.520913892549721
"982","Urbain",2015-09-09,NA,NA,0.523115774630498
"983","Urbain",2015-09-10,NA,NA,0.525317656711276
"984","Urbain",2015-09-11,NA,NA,0.527519538792053
"985","Urbain",2015-09-12,NA,NA,0.529721420872831
"986","Urbain",2015-09-13,NA,NA,0.531923302953609
"987","Urbain",2015-09-14,NA,NA,0.534125185034386
"988","Urbain",2015-09-15,NA,NA,0.536327067115164
"989","Urbain",2015-09-16,NA,NA,0.538528949195941
"990","Urbain",2015-09-17,NA,NA,0.540730831276719
"991","Urbain",2015-09-18,NA,NA,0.542932713357496
"992","Urbain",2015-09-19,NA,NA,0.545134595438274
"993","Urbain",2015-09-20,NA,NA,0.547336477519051
"994","Urbain",2015-09-21,NA,NA,0.549538359599829
"995","Urbain",2015-09-22,NA,NA,0.551740241680606
"996","Urbain",2015-09-23,NA,NA,0.553942123761384
"997","Urbain",2015-09-24,0.556144005842162,1209849.278,0.556144005842162
